Date,pH
2020/12/15 1:00:56,80.1
2020/12/15 1:02:13,81.2
2020/12/15 1:04:26,83.4
2020/12/15 1:06:17,81.9
2020/12/15 1:08:10,78.6
2020/12/15 1:10:51,65.4
2020/12/15 1:12:01,62.1
2020/12/15 1:14:45,60.2
2020/12/15 1:16:30,56.4
2020/12/15 1:18:19,57.9
2020/12/15 1:20:11,59.2
2020/12/15 1:22:41,62.3
2020/12/15 1:24:07,61.6
2020/12/15 1:26:25,64.1
2020/12/15 1:28:29,63.2
2020/12/15 1:30:13,64.4
2020/12/15 1:32:50,67.9
2020/12/15 1:34:55,69.0
2020/12/15 1:36:31,71.1
2020/12/15 1:37:59,74.4
2020/12/15 1:40:17,72.8
2020/12/15 1:42:16,74.2
2020/12/15 1:44:08,77.0
2020/12/15 1:46:19,79.1
2020/12/15 1:48:23,80.3
2020/12/15 1:50:21,81.9
2020/12/15 1:52:14,80.1
2020/12/15 1:55:00,83.2
2020/12/15 1:56:18,86.6
2020/12/15 1:58:32,82.5
2020/12/15 2:00:00,84.2
