Date,pH
2020/12/15 1:00:56,63
2020/12/15 1:02:13,64
2020/12/15 1:04:26,63
2020/12/15 1:06:17,60
2020/12/15 1:08:10,61
2020/12/15 1:10:51,59
2020/12/15 1:12:01,56
2020/12/15 1:14:45,58
2020/12/15 1:16:30,61
2020/12/15 1:18:19,59
2020/12/15 1:20:11,62
2020/12/15 1:22:41,64
2020/12/15 1:24:07,65
2020/12/15 1:26:25,63
2020/12/15 1:28:29,66
2020/12/15 1:30:13,68
2020/12/15 1:32:50,69
2020/12/15 1:34:55,73
2020/12/15 1:36:31,71
2020/12/15 1:37:59,72
2020/12/15 1:40:17,70
2020/12/15 1:42:16,70
2020/12/15 1:44:08,73
2020/12/15 1:46:19,72
2020/12/15 1:48:23,71
2020/12/15 1:50:21,69
2020/12/15 1:52:14,70
2020/12/15 1:55:00,67
2020/12/15 1:56:18,64
2020/12/15 1:58:32,65
2020/12/15 2:00:00,68
